Organization type,Size of IT department,Customer organization type,Estimated  duration,Development type,Application domain,Object points,Estimated effort,Contract maturity,Government policy impact,Organization management structure clarity,Developer hiring policy,Developer incentives policy ,Developer training,Development team management,Top management support,Top management opinion of previous system,User resistance,User computer experience, Users stability , Requirements flexibility ,Project manager experience,Consultant availability,DBMS  expert availability,Precedentedness,Software tool experience,Programmers experience in programming language,Programmers capability ,Analysts capability ,Team selection,Team size,Daily working hours,Team contracts,Team cohesion,Schedule quality,Development environment adequacy,Tool availability ,Methodology,Programming language used,DBMS used,Technical stability,Open source software,Degree of software reuse ,Degree of risk management,Use of standards, Process reengineering ,Requirement accuracy level,Technical documentation,User manual,Required reusability,Performance requirements,Product complexity,Security requirements,Reliability requirements,Specified H/W,Effort
-4.0,0.71428573,0.3,-0.75,0.0,0.4,0.016366612,-0.13807982,2.6666667,0.0,1.0,-0.33333334,0.6666667,0.0,0.0,0.0,0.0,-0.75,0.0,0.0,1.0,1.0,0.0,-1.0,-0.6666667,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,-1.0,1.0,0.0,-0.33333334,0.0,-2.0,-1.0,0.0,1.0,0.5,0.0,0.0,0.505618,1.5,-1.3333334,-1.0,0.0,0.0,0.0,0.0,0.4,0.0,3168.0
0.0,-0.14285715,-0.8,-0.75,0.0,-0.4,-0.2487725,-0.34519956,0.0,0.0,0.0,0.0,0.0,0.0,0.85714287,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-0.6666667,1.5,0.0,0.0,1.0,0.0,-0.6666667,0.0,0.0,3.0,1.0,0.0,0.0,-0.5,-0.6666667,-1.0,0.0,1.0,0.5,0.0,0.0,3.5056183,0.5,-0.6666667,-1.0,-0.5,0.0,-1.0,2.0,0.0,0.0,1584.0
0.0,0.0,-0.7,-0.5,0.0,-0.4,-0.101472996,0.06903991,0.0,1.0,2.0,0.6666667,0.0,0.0,0.5714286,-3.0,-1.0,-0.5,0.0,0.0,0.0,1.0,-1.0,0.0,0.6666667,-0.5,-0.5,0.0,1.0,-1.0,0.33333334,0.0,0.0,2.0,0.0,0.0,0.0,0.5,-1.3333334,-1.0,0.0,0.0,0.5,-1.0,0.0,0.0,1.0,-0.6666667,-0.6666667,1.0,3.0,1.0,3.0,0.0,2.0,5280.0
-1.0,0.0,-0.6,0.25,0.0,0.4,0.4942717,0.4832794,-1.3333334,0.0,0.0,-0.33333334,-0.6666667,0.0,0.85714287,0.0,0.0,0.75,0.0,1.1647941,-0.3333333,0.0,-2.0,0.0,0.6666667,-0.5,-0.5,2.0,3.0,-1.0,0.33333334,0.0,1.0,-2.0,0.0,0.0,-1.3333334,0.0,-1.0,0.0,1.0,0.0,-0.5,-2.0,-1.0,0.0,0.0,-1.3333334,0.0,1.0,1.0,2.0,1.0,0.8,1.0,5280.0
-1.0,0.0,-0.6,1.75,0.0,0.4,1.0638298,3.175836,-0.6666667,0.0,0.0,0.0,-1.0,0.0,-0.5714286,0.0,0.0,0.25,0.0,0.0,-0.3333333,0.0,-1.0,0.0,0.6666667,0.0,-0.5,2.0,3.0,0.0,1.3333334,0.0,0.0,-1.0,0.0,0.0,-1.3333334,0.0,5.6666665,0.0,0.0,0.0,-0.5,-2.0,0.0,-0.49438217,0.0,-1.3333334,0.0,1.0,3.0,1.0,1.0,0.8,1.0,38016.0
-1.0,0.0,-0.6,0.25,6.0,0.4,0.26841244,0.8975189,-0.6666667,0.0,0.0,0.0,-1.0,0.0,-0.5714286,0.0,-1.0,-0.75,1.0,1.0,-0.3333333,0.0,0.0,0.0,0.6666667,-0.5,-0.5,2.0,3.0,0.0,0.6666667,0.0,0.0,-2.0,0.0,0.0,-1.3333334,0.0,-1.0,1.0,0.0,0.0,-0.5,-2.0,0.0,-0.49438217,0.0,-1.3333334,0.0,1.0,3.0,1.0,1.0,0.8,1.0,9856.0
-1.0,-0.14285715,-0.6,0.25,0.0,0.4,-0.13420622,0.4832794,-0.6666667,0.0,0.0,0.0,-0.6666667,-1.0,-0.5714286,0.0,-1.0,1.0,-1.0,1.1647941,-0.3333333,1.0,-2.0,0.0,0.6666667,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,-1.3333334,0.0,-0.33333334,1.0,0.0,0.0,0.5,-2.0,0.0,-0.49438217,0.0,-1.3333334,0.0,1.0,3.0,2.0,1.0,0.8,1.0,7920.0
-1.0,0.0,-0.6,-0.25,0.0,0.4,-0.07855974,0.3106796,-0.6666667,1.0,0.0,0.0,-0.6666667,-1.0,-0.2857143,0.0,-1.0,1.5,0.0,0.0,-0.3333333,1.0,-1.0,-1.0,0.6666667,-0.5,-0.5,2.0,3.0,0.0,0.0,2.0,0.0,-2.0,0.0,0.0,-1.3333334,0.5,6.0,1.0,2.0,0.0,-1.0,-2.0,0.0,-0.49438217,0.0,-1.3333334,-0.6666667,1.0,3.0,2.0,2.0,0.8,1.0,4400.0
-1.0,-0.14285715,-0.6,0.25,0.0,-0.4,-0.2651391,0.27615964,-0.6666667,1.0,0.0,0.0,-1.0,0.0,-0.5714286,0.0,-1.0,-0.25,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-0.5,-0.5,2.0,3.0,0.0,-0.33333334,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-1.6666666,1.0,0.0,0.0,-0.5,-2.0,0.0,0.0,0.0,-1.3333334,0.0,0.0,3.0,2.0,1.0,0.8,1.0,4224.0
0.0,-0.14285715,0.4,1.75,0.0,-0.6,0.7855974,0.7162891,0.0,1.0,0.0,0.33333334,-0.6666667,-2.0,0.5714286,1.0,0.0,1.25,-1.0,1.0,1.0,0.0,0.0,0.0,-0.6666667,0.5,0.5,-1.0,0.0,0.0,-0.33333334,-1.0,0.0,-2.0,2.0,0.0,0.0,0.5,-1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.6666667,0.0,1.0,0.0,-1.0,0.0,0.0,1.0,24255.0
